path	package	class	function	severity	deleted_ts	a	sem_ids	cat	file_path	file_line	file_line_pos	source_pos	expectation	ylog_name	cpl_comment	has_ylog_on	text	anchor_key	cpl	tsv_line
	main.ts								src/main.ts	35	20	1487				0	replace_source is started	1468d411a9dba2b1fb5aa2dafd4ed316deeafee3dfee24bd06232f3f69f289e4	CODE00001563	3
	main.ts								src/main.ts	36	20	1548				0	replacementsFile=${replacementsFile}	34df75a183a625be289533d8ed90e471e26b80869cece1612d641897f1f4c3e8	CODE00001564	4
	main.ts								src/main.ts	37	20	1623				0	sourcePath=${replacements.sourcePath}	901ed834f7db4f6e35f9ef88611121d9c5d226ce62524ddbfbc56f64653b15ed	CODE00001565	5
	main.ts								src/main.ts	38	20	1699				0	targetPath=${replacements.targetPath}	d2ba6f19025b33aaedb9bcaf83bdc5a76880361ad66efa07d4db46b798b8c003	CODE00001566	6
	main.ts								src/main.ts	17	24	878				0	sourcePath is undefined!	08eae73d608c576c4da7537f052918eb11ee9d8445da2045d4c363c7212f56aa	CODE00000001	1
	main.ts								src/main.ts	20	24	984				0	tempPath is undefined!	7396e2e62cbdb513740aee2ff9b4913d6ce417cfea071e85796f691089539d7c	CODE00000002	2
	upsertHosts.ts								src/upsertHosts.ts	37	18	1128				0	hosts newContent=n	27208ac7086b384db503a11351b0ebe4116c427ebd7462baf1111434702bfa4f	CODE00001551	
	win1251								src/win1251/win1251.ts	28	16	4384				0	Failed to encode string to win1251 at position ${index}, string fragmentBefore=${JSON.stringify(beforeFailedFragment)}" failedFragment=${JSON.stringify(failedFragment)}"     }	074bcdb5700a74d893be3e912860f6f5e5bbb0cfa82ac18b584b7093e7e6e1b1	CODE00001550	7
	win1251								src/win1251/yyaTextFile.ts	43	24	1523				0	Unsupported encoding ${encoding || "undefined"}	4a6cce23b9f41b5a10263f2cd55dd09ef76f3543eaa1eaa3964902ba435a30ea	CODE00000766	8
	win1251								src/win1251/yyaTextFile.ts	70	24	2494				0	Unsupported encoding ${encoding || "undefined"}	827c10f1b1ead7811c1484e6f9cd0ffbeaf5f3472ec549699407be4c2274967d	CODE00000767	9
